 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:44.033  SFO PEK 0.203 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:49.033  MMX SVG 0.720 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:50.033  MMX SVG 0.421 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:57.033  CPH PEK 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:02.034  CPH PEK 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:05.034  MMX SVG 0.674 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:10.034  MMX SVG 1.708 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:15.034  CPH PVG 0.235 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:19.034  IAH SVG 0.236 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:21.034  IAH SVG 0.220 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:29.034  IAH SVG 0.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:32.034  IAH SVG 0.276 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:36.034  IAH SVG 0.297 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:37.034  IAH SVG 0.267 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:39.034  IAH SVG 0.301 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:42.034  IAH SVG 0.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:45.034  IAH SVG 0.268 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:47.034  IAH SVG 0.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:49.034  IAH SVG 0.266 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:50.034  IAH SVG 0.350 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:34:59.034  SVG KSU 0.986 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:08.035  SVG KSU 0.798 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:17.035  SVG KSU 1.122 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:22.035  SVG KSU 1.190 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:28.035  SVG KSU 0.896 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:33.035  SVG KSU 1.205 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:39.035  SVG KSU 1.64 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:49.035  SVG KSU 1.489 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:35:55.035  SVG KSU 1.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:01.036  SVG KSU 1.300 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:11.036  SVG KSU 1.33 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:15.036  SVG KSU 1.380 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:21.036  SVG KSU 1.564 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:29.036  SVG KSU 1.349 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:35.036  SVG KSU 1.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:40.036  SVG KSU 1.68 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:51.036  SVG KSU 1.94 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:36:58.036  SVG KSU 1.754 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:08.037  SVG KSU 1.318 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:14.037  SVG KSU 1.424 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:20.037  SVG KSU 1.315 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:24.037  KSU SVG 0.157 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:28.037  KSU SVG 0.157 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:30.037  KSU SVG 0.162 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:33.037  KSU SVG 0.156 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:37.037  KSU SVG 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:38.037  CPH PVG 0.250 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:42.037  KSU SVG 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:47.037  KSU SVG 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:51.037  KSU SVG 0.176 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:37:58.037  KSU SVG 0.156 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:06.038  KSU SVG 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:11.038  ZRH LOS 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:11.038  ZRH LOS 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:11.038  ZRH LOS 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:11.038  ZRH LOS 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:14.038  SVG ATH 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:17.038  CPH BJS 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:20.038  SVG ATH 0.203 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:28.038  SVG ATH 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:32.038  SVG ATH 0.219 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:35.038  SVG ATH 0.251 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:39.038  SVG ATH 0.297 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:42.038  JFK ARN 0.313 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:46.038  SVG ATH 0.320 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:50.038  SVG ATH 0.281 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:54.038  SVG ATH 0.265 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:38:58.038  SVG ATH 0.257 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:02.039  CPH SHA 0.730 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:05.039  SVG ATH 0.205 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:09.039  SVG ATH 0.267 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:13.039  CPH SHA 0.721 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:22.039  SVG ATH 0.289 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:26.039  SVG ATH 0.330 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:33.039  ATH SVG 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:41.039  ATH SVG 0.190 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:39:44.039  ATH SVG 0.188 >
